Time in Seconds,Stars (Max: 5),Weighted Rating,Price
43260.0,4.5,7.110696122978827,17.14
51060.0,4.5,5.247024072160486,18.05
22740.0,3.5,3.091042453358316,17.19
31680.0,4.5,5.797576353942562,18.0
24300.0,4.0,4.343805421853684,19.49
162540.0,4.5,6.635290172335217,23.36
33120.0,5.0,4.836281906951478,19.95
47040.0,4.0,4.727387818712341,15.59
30420.0,4.0,6.150602768446279,15.56
28500.0,4.0,6.834108738813838,15.75
29160.0,5.0,6.236369590203704,19.95
40620.0,4.0,5.707110264748875,25.0
40380.0,4.5,7.160845906664299,20.08
26040.0,4.0,3.4965075614664802,19.95
28320.0,4.0,3.367295829986474,17.49
42480.0,4.0,4.110873864173311,23.54
30180.0,4.0,4.859812404361672,19.95
27840.0,4.5,3.332204510175204,17.19
31020.0,4.0,7.239214973779806,19.49
42480.0,5.0,4.663439094112067,24.95
40920.0,4.5,3.9219733362813143,25.79
32640.0,4.5,4.460144413937834,17.19
13860.0,5.0,4.795790545596741,14.95
45120.0,4.0,5.342334251964811,15.75
25680.0,4.5,5.147494476813453,18.49
51480.0,4.5,5.783825182329737,18.91
28500.0,5.0,4.02535169073515,19.18
12300.0,4.0,4.61512051684126,15.32
24720.0,5.0,4.394449154672439,20.0
32400.0,4.5,4.770684624465665,17.19
25140.0,4.0,4.948759890378168,19.48
73800.0,4.5,4.6491870714048655,24.75
21900.0,4.0,5.993961427306569,17.16
10740.0,4.5,3.828641396489095,14.81
12900.0,4.5,4.1588830833596715,14.95
43440.0,5.0,3.258096538021482,24.95
37740.0,4.0,3.044522437723423,18.88
10380.0,4.0,4.48863636973214,17.47
12900.0,4.5,4.460144413937834,13.93
33600.0,4.5,3.332204510175204,22.5
43800.0,4.0,5.220355825078324,29.95
30360.0,4.5,4.1588830833596715,12.01
12360.0,4.5,3.7256934272366524,14.95
19020.0,4.0,3.2188758248682006,15.56
31200.0,4.5,5.6507332535663855,19.95
24240.0,4.5,4.1588830833596715,19.96
30660.0,4.0,2.833213344056216,19.95
17460.0,5.0,3.713572066704308,18.59
9780.0,4.0,3.2188758248682006,11.24
35280.0,3.5,4.5217885770490405,15.75
61980.0,4.5,4.605170185988092,24.95
41880.0,4.0,2.833213344056216,24.95
18900.0,5.0,3.044522437723423,18.15
28860.0,4.0,4.890349128221754,14.52
59220.0,3.5,4.663439094112067,24.95
13260.0,3.5,2.70805020110221,14.95
12360.0,4.0,3.2188758248682006,14.95
37260.0,3.5,4.212127597878484,24.95
43800.0,4.5,4.007333185232471,17.9
34260.0,4.0,3.8918202981106265,18.0
24720.0,4.0,3.6109179126442243,19.95
24420.0,4.5,4.007333185232471,19.49
31980.0,4.5,5.82452409235233,18.74
21240.0,4.5,3.9219733362813143,16.35
18840.0,5.0,3.4339872044851463,19.95
29100.0,4.0,3.044522437723423,24.95
47820.0,4.0,3.970291913552122,24.95
11220.0,4.0,4.174387269895637,14.95
18420.0,3.5,4.400603020246817,13.96
30960.0,4.5,3.481240089335692,19.95
12300.0,4.0,4.532599493153256,14.95
43440.0,4.0,3.2188758248682006,24.67
16920.0,3.5,3.7612001156935624,17.19
19380.0,4.0,3.367295829986474,19.95
18060.0,3.5,3.979681653901961,19.25
10860.0,4.0,3.367295829986474,15.32
43500.0,4.5,3.1570004211501135,24.95
73740.0,4.5,4.290459441148391,39.95
34200.0,4.5,4.22683374526818,18.0
22500.0,4.0,3.4965075614664802,19.49
36900.0,5.0,3.58351893845611,21.49
34140.0,4.5,3.6109179126442243,19.95
36660.0,4.0,3.6109179126442243,33.9
19200.0,4.0,4.110873864173311,19.95
23640.0,4.0,3.044522437723423,19.95
55860.0,5.0,3.044522437723423,15.97
18660.0,4.0,3.6109179126442243,20.0
32100.0,3.5,3.7612001156935624,20.0
38640.0,4.0,4.23410650459726,24.95
43260.0,4.0,2.833213344056216,25.0
39780.0,3.5,3.2386784521643803,24.95
34980.0,3.5,4.442651256490317,18.0
38280.0,3.0,3.6888794541139363,24.95
19860.0,4.5,3.6109179126442243,19.95
21780.0,4.0,3.367295829986474,19.95
31740.0,4.0,2.833213344056216,24.96
38820.0,3.5,3.091042453358316,24.95
48720.0,3.5,2.917770732084279,24.95
58860.0,4.5,8.80131894766524,18.91
12840.0,5.0,4.61512051684126,14.95
16320.0,5.0,8.933400396056303,14.81
36840.0,4.5,6.060290738037835,20.25
20340.0,4.5,7.846589975291186,20.25
36900.0,4.5,7.359785856237623,18.0
57420.0,4.5,4.22683374526818,25.19
33060.0,4.5,5.949339620807311,18.0
29400.0,4.0,6.431331081933479,22.49
21780.0,4.5,7.153833801578843,13.49
28200.0,4.5,7.065613363597717,15.47
26700.0,4.5,8.495458699270232,17.12
20520.0,4.5,8.262429965721566,13.75
34860.0,4.0,9.517604459155686,17.19
44100.0,4.5,6.561737629517393,17.9
34260.0,4.5,4.605170185988092,25.19
25080.0,4.0,6.70073110954781,21.04
15060.0,5.0,6.226536669287466,23.36
24240.0,4.0,4.948759890378168,15.75
30540.0,4.5,5.420534999272286,22.49
28860.0,4.5,8.626316618434592,15.75
31500.0,4.5,7.740881769595523,15.56
33960.0,4.0,3.970291913552122,19.95
32160.0,5.0,3.044522437723423,19.95
34980.0,4.5,4.1588830833596715,17.19
18900.0,4.0,3.970291913552122,19.95
33360.0,4.5,7.382435456111774,15.56
15420.0,4.0,5.963579343618446,11.17
29100.0,5.0,6.255750041753367,15.47
161700.0,4.5,7.575328208422652,34.39
16620.0,4.5,11.2364932087077,13.5
135780.0,4.5,6.529418838262226,39.95
59880.0,4.5,5.0369526024136295,27.81
22860.0,4.5,3.6109179126442243,20.0
25200.0,4.0,5.680172609017068,14.61
38700.0,5.0,4.7535901911063645,21.9
74460.0,4.5,9.00914175941254,32.89
36540.0,4.5,3.332204510175204,18.15
33480.0,4.5,6.101439400316553,25.19
147840.0,4.5,5.797576353942562,27.99
16620.0,3.5,5.384495062789089,24.06
11520.0,4.5,5.065754593317335,14.95
39180.0,4.0,4.919980925828125,21.49
19020.0,4.5,5.0072963928307415,14.52
21480.0,4.5,6.028278520230698,24.06
